pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
203,450203,"Morton, Charlie",1271,16,0.224,0.194,0.328,0.418,0.27,0.235,0.216,22,98,85.2,8.3,3042,81.1,80.59,81,203,0,-0.5,6.16,110,151,124,147,301,331,303
196,448179,"Hill, Rich",976,20.1,0.265,0.176,0.276,0.441,0.302,0.309,0.277,27,102,86.5,10.3,2638,71.6,70.54,32,196,0,-1.1,6.05,106,153,119,148,288,325,291
191,657140,"Wright, Kyle",1282,14.9,0.25,0.06,0.357,0.31,0.241,0.247,0.249,25,100,88,2.6,2719,84.5,84.36,65,191,0,-0.1,6.46,112,152,122,149,305,332,299
188,664285,"Valdez, Framber",1325,14.2,0.172,0.065,0.278,0.237,0.177,0.232,0.223,16,93,87.5,2.9,2837,79.3,78.37,67,188,0,-0.9,6.02,110,154,118,148,295,322,288
184,605400,"Nola, Aaron",1341,13.7,0.194,0.204,0.269,0.398,0.251,0.247,0.207,18,93,88.3,5.4,2554,78.5,78.88,74,184,0,0.4,6.85,109,151,128,142,296,323,293
183,628711,"Urías, Julio",1022,17.9,0.225,0.213,0.231,0.438,0.279,0.271,0.217,20,89,83.8,21.7,2920,80.9,79.86,48,183,0,-1,5.67,109,153,120,148,298,315,289
182,425794,"Wainwright, Adam",1351,13.5,0.264,0.099,0.311,0.363,0.269,0.26,0.262,24,91,84.7,10.3,2766,73.2,72.57,40,182,0,-0.6,6.32,118,157,120,149,297,324,300
172,607200,"Fedde, Erick",1266,13.6,0.329,0.127,0.387,0.456,0.336,0.301,0.279,26,79,85.4,21.2,2389,78.4,78.55,42,172,0,0.1,6.54,113,155,125,144,299,322,295
167,592767,"Smyly, Drew",716,23.3,0.205,0.145,0.255,0.349,0.238,0.264,0.231,17,83,80.6,8.1,1990,77.7,76.68,55,167,0,-1,5.59,107,152,116,148,305,321,292
158,621244,"Berríos, José",1153,13.7,0.185,0.222,0.2,0.407,0.251,0.312,0.237,15,81,90.4,17.9,2275,82.7,82.53,52,158,0,-0.2,6.36,109,163,126,149,293,319,297
155,446372,"Kluber, Corey",1027,15.1,0.256,0.159,0.322,0.415,0.287,0.297,0.254,21,82,86.4,19.1,2459,80.7,80.39,38,155,0,-0.3,6.32,110,156,117,149,304,326,296
