"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"521",641482,"Cortes, Nestor","1250","41.7","0.204","0.157","0.231","0.361","0.242","0.251","0.220","44","216","89.2","19.8","2312","89.1","88.39","126","521","0","-0.7","5.79","110","163","121","151","303","327","287"
"459",623167,"Flexen, Chris","1230","37.3","0.284","0.164","0.299","0.448","0.315","0.353","0.298","66","232","90.7","17.4","2225","89.4","88.85","93","459","0","-0.6","6.00","108","152","121","146","293","323","294"
"447",607074,"Rodón, Carlos","1335","33.5","0.238","0.146","0.294","0.384","0.266","0.295","0.269","39","164","88.1","19.0","2360","96.3","96.12","110","447","0","-0.2","6.21","107","152","115","147","297","318","288"
"442",518516,"Bumgarner, Madison","1280","34.5","0.342","0.241","0.361","0.583","0.395","0.372","0.313","68","199","90.4","16.2","2230","88.8","88.98","80","442","0","0.2","6.60","108","152","121","146","301","321","295"
"440",669302,"Gilbert, Logan","1453","30.3","0.250","0.173","0.282","0.423","0.287","0.344","0.301","42","168","92.8","14.4","2142","95.9","97.90","104","440","0","2.0","7.43","112","154","121","148","292","324","298"
"428",677651,"Garcia, Luis","1086","39.4","0.242","0.206","0.261","0.448","0.292","0.320","0.266","47","194","90.5","17.4","2357","91.2","90.88","117","428","0","-0.3","6.10","114","156","118","149","294","325","291"
"417",543037,"Cole, Gerrit","1408","29.6","0.228","0.198","0.259","0.426","0.278","0.296","0.241","37","162","90.0","15.7","2464","96.7","96.72","137","417","0","0.0","6.48","113","158","123","153","295","327","290"
"408",641816,"Mahle, Tyler","1563","26.1","0.223","0.189","0.271","0.411","0.267","0.252","0.205","39","175","91.2","24.4","2304","92.9","93.33","116","408","0","0.4","6.60","119","156","122","148","290","319","293"
"401",664353,"Urquidy, José","1213","33.1","0.292","0.232","0.275","0.524","0.343","0.458","0.360","49","168","93.0","20.5","2234","93.0","92.18","79","401","0","-0.8","5.90","112","154","118","148","294","326","293"
"396",669203,"Burnes, Corbin","1504","26.3","0.224","0.100","0.271","0.324","0.235","0.303","0.282","38","170","89.2","11.1","2624","94.8","94.99","129","396","0","0.2","6.37","111","154","121","147","297","319","295"
