,pitches,player_id,player_name,total_pitches,pitch_percent,hits,whiffs,swings,takes
0,203,450203,"Morton, Charlie",1271,16.0,22.0,81,203,0
1,196,448179,"Hill, Rich",976,20.1,27.0,32,196,0
2,191,657140,"Wright, Kyle",1282,14.9,25.0,65,191,0
3,188,664285,"Valdez, Framber",1325,14.2,16.0,67,188,0
4,184,605400,"Nola, Aaron",1341,13.7,18.0,74,184,0
5,183,628711,"Urías, Julio",1022,17.9,20.0,48,183,0
6,182,425794,"Wainwright, Adam",1351,13.5,24.0,40,182,0
7,172,607200,"Fedde, Erick",1266,13.6,26.0,42,172,0
8,167,592767,"Smyly, Drew",716,23.3,17.0,55,167,0
9,158,621244,"Berríos, José",1153,13.7,15.0,52,158,0
10,155,446372,"Kluber, Corey",1027,15.1,21.0,38,155,0
11,151,500779,"Quintana, José",1190,12.7,18.0,49,151,0
12,127,669203,"Burnes, Corbin",1399,9.1,7.0,56,127,0
13,123,519043,"Moore, Matt",552,22.3,14.0,36,123,0
14,121,663556,"McClanahan, Shane",1249,9.7,12.0,41,121,0
15,121,669456,"Bieber, Shane",1177,10.3,13.0,47,121,0
16,120,601713,"Pivetta, Nick",1282,9.4,20.0,30,120,0
17,118,680686,"Gray, Josiah",1194,9.9,12.0,44,118,0
18,114,608566,"Márquez, Germán",1162,9.8,12.0,43,114,0
19,112,607536,"Freeland, Kyle",1247,9.0,13.0,30,112,0
20,112,668678,"Gallen, Zac",1189,9.4,9.0,37,112,0
21,109,608331,"Fried, Max",1325,8.2,11.0,43,109,0
22,104,605397,"Musgrove, Joe",1254,8.3,8.0,35,104,0
23,103,672851,"Adon, Joan",1108,9.3,19.0,18,103,0
24,101,666120,"Anderson, Ian",1202,8.4,11.0,38,101,0
25,101,663474,"McKenzie, Triston",1115,9.1,5.0,44,101,0
26,99,656756,"Montgomery, Jordan",1119,8.8,6.0,45,99,0
27,98,425844,"Greinke, Zack",882,11.1,15.0,7,98,0
28,97,621107,"Eflin, Zach",1011,9.6,7.0,44,97,0
29,97,621112,"Blackburn, Paul",1158,8.4,6.0,30,97,0
30,94,571945,"Mikolas, Miles",1381,6.8,12.0,20,94,0
31,93,434378,"Verlander, Justin",1211,7.7,7.0,29,93,0
32,91,543135,"Eovaldi, Nathan",1063,8.6,9.0,31,91,0
33,87,608648,"Duffey, Tyler",447,19.5,14.0,22,87,0
34,86,621111,"Buehler, Walker",1046,8.2,7.0,26,86,0
35,85,518516,"Bumgarner, Madison",1280,6.6,6.0,17,85,0
36,84,656638,"Lange, Alex",431,19.5,6.0,49,84,0
37,83,666200,"Luzardo, Jesús",518,16.0,6.0,33,83,0
38,82,605130,"Barlow, Scott",509,16.1,6.0,34,82,0
39,80,608344,"Irvin, Cole",965,8.3,11.0,24,80,0
40,78,665621,"García, Rony",653,11.9,6.0,30,78,0
41,77,641778,"Lauer, Eric",1206,6.4,14.0,13,77,0
42,76,664208,"Maton, Phil",490,15.5,6.0,21,76,0
43,75,650644,"Civale, Aaron",659,11.4,4.0,31,75,0
44,73,624522,"Thompson, Keegan",943,7.7,12.0,20,73,0
45,72,528748,"Castellanos, Humberto",748,9.6,11.0,20,72,0
46,71,622251,"Staumont, Josh",488,14.5,8.0,29,71,0
47,71,672578,"Hernández, Carlos",545,13.0,11.0,14,71,0
48,71,656302,"Cease, Dylan",1338,5.3,12.0,24,71,0
