,pitches,player_id,player_name,total_pitches,pitch_percent,hits,whiffs,swings,takes
0,521,641482,"Cortes, Nestor",1250,41.7,44.0,126,521,0
1,459,623167,"Flexen, Chris",1230,37.3,66.0,93,459,0
2,447,607074,"Rodón, Carlos",1335,33.5,39.0,110,447,0
3,442,518516,"Bumgarner, Madison",1280,34.5,68.0,80,442,0
4,440,669302,"Gilbert, Logan",1453,30.3,42.0,104,440,0
5,428,677651,"Garcia, Luis",1086,39.4,47.0,117,428,0
6,417,543037,"Cole, Gerrit",1408,29.6,37.0,137,417,0
7,408,641816,"Mahle, Tyler",1563,26.1,39.0,116,408,0
8,401,664353,"Urquidy, José",1213,33.1,49.0,79,401,0
9,396,669203,"Burnes, Corbin",1504,26.3,38.0,129,396,0
10,380,592332,"Gausman, Kevin",1371,27.7,58.0,58,380,0
11,377,434378,"Verlander, Justin",1313,28.7,31.0,55,377,0
12,377,663474,"McKenzie, Triston",1211,31.1,35.0,67,377,0
13,370,664299,"Javier, Cristian",1097,33.7,25.0,98,370,0
14,369,506433,"Darvish, Yu",1353,27.3,41.0,94,369,0
15,368,601713,"Pivetta, Nick",1380,26.7,27.0,71,368,0
16,351,592662,"Ray, Robbie",1411,24.9,37.0,87,351,0
17,349,675911,"Strider, Spencer",927,37.6,31.0,99,349,0
18,348,641154,"López, Pablo",1374,25.3,43.0,73,348,0
19,345,542881,"Anderson, Tyler",1155,29.9,44.0,65,345,0
20,334,641778,"Lauer, Eric",1206,27.7,39.0,91,334,0
21,329,622663,"Severino, Luis",1187,27.7,29.0,80,329,0
22,325,656876,"Rasmussen, Drew",947,34.3,31.0,76,325,0
23,325,672851,"Adon, Joan",1108,29.3,44.0,48,325,0
24,317,669022,"Gore, MacKenzie",1022,31.0,28.0,62,317,0
25,311,624522,"Thompson, Keegan",943,33.0,32.0,76,311,0
26,308,668881,"Greene, Hunter",1253,24.6,45.0,84,308,0
27,306,669432,"Rogers, Trevor",1217,25.1,42.0,77,306,0
28,303,518876,"Kelly, Merrill",1346,22.5,32.0,67,303,0
29,303,668678,"Gallen, Zac",1189,25.5,27.0,44,303,0
30,300,656629,"Kopech, Michael",1040,28.8,23.0,76,300,0
31,296,657006,"Steele, Justin",1122,26.4,41.0,49,296,0
32,295,656302,"Cease, Dylan",1439,20.5,23.0,79,295,0
33,292,621111,"Buehler, Walker",1046,27.9,43.0,57,292,0
34,284,592791,"Taillon, Jameson",1194,23.8,34.0,76,284,0
35,282,666201,"Manoah, Alek",1287,21.9,30.0,69,282,0
36,280,669923,"Kirby, George",900,31.1,27.0,74,280,0
37,278,657746,"Ryan, Joe",957,29.0,20.0,66,278,0
38,275,543135,"Eovaldi, Nathan",1063,25.9,34.0,47,275,0
39,274,593423,"Montas, Frankie",1383,19.8,23.0,77,274,0
40,270,666120,"Anderson, Ian",1290,20.9,36.0,45,270,0
41,269,689225,"Brieske, Beau",1033,26.0,27.0,39,269,0
42,268,450203,"Morton, Charlie",1271,21.1,33.0,58,268,0
43,267,663556,"McClanahan, Shane",1348,19.8,27.0,75,267,0
44,263,622608,"Senzatela, Antonio",980,26.8,50.0,33,263,0
45,259,579328,"Kikuchi, Yusei",1077,24.0,22.0,69,259,0
46,253,605135,"Bassitt, Chris",1467,17.2,26.0,69,253,0
47,250,680686,"Gray, Josiah",1288,19.4,28.0,34,250,0
48,250,628711,"Urías, Julio",1116,22.4,20.0,69,250,0
49,247,660271,"Ohtani, Shohei",1071,23.1,30.0,49,247,0
50,247,592351,"Gray, Jon",1056,23.4,30.0,52,247,0
51,246,621368,"Hearn, Taylor",1119,22.0,23.0,52,246,0
52,246,608337,"Giolito, Lucas",1181,20.8,36.0,67,246,0
53,245,663738,"Lynch, Daniel",1189,20.6,27.0,50,245,0
54,242,668676,"Plesac, Zach",1148,21.1,31.0,34,242,0
55,240,608331,"Fried, Max",1431,16.8,36.0,40,240,0
56,238,605400,"Nola, Aaron",1439,16.5,18.0,49,238,0
57,235,596295,"Gomber, Austin",1123,20.9,38.0,33,235,0
58,234,554430,"Wheeler, Zack",1158,20.2,23.0,72,234,0
59,233,672282,"Detmers, Reid",967,24.1,18.0,44,233,0
60,232,669330,"Wells, Tyler",1086,21.4,24.0,42,232,0
61,231,453286,"Scherzer, Max",759,30.4,20.0,62,231,0
62,227,425794,"Wainwright, Adam",1452,15.6,33.0,43,227,0
63,225,621345,"Minter, A.J.",487,46.2,18.0,72,225,0
64,222,605397,"Musgrove, Joe",1254,17.7,29.0,47,222,0
65,222,608379,"Wacha, Michael",1002,22.2,30.0,32,222,0
66,213,446372,"Kluber, Corey",1090,19.5,28.0,51,213,0
67,212,656731,"Megill, Tylor",695,30.5,24.0,62,212,0
68,212,471911,"Carrasco, Carlos",1179,18.0,29.0,52,212,0
69,212,621244,"Berríos, José",1219,17.4,41.0,34,212,0
70,211,621076,"Kaprielian, James",887,23.8,27.0,33,211,0
71,211,656605,"Keller, Mitch",1145,18.4,28.0,38,211,0
72,211,605507,"Thompson, Zach",941,22.4,20.0,57,211,0
73,210,645261,"Alcantara, Sandy",1522,13.8,20.0,44,210,0
74,209,615698,"Quantrill, Cal",1200,17.4,30.0,51,209,0
75,208,500779,"Quintana, José",1190,17.5,19.0,59,208,0
76,208,453178,"Kennedy, Ian",449,46.3,23.0,41,208,0
77,206,543606,"Odorizzi, Jake",496,41.5,21.0,41,206,0
78,205,543475,"Lyles, Jordan",1432,14.3,31.0,44,205,0
79,205,641329,"Baker, Bryan",529,38.8,30.0,50,205,0
80,203,656412,"Faedo, Alex",841,24.1,32.0,37,203,0
81,203,607259,"Martinez, Nick",1080,18.8,36.0,47,203,0
82,203,517008,"Colomé, Alex",396,51.3,28.0,43,203,0
83,201,608723,"Voth, Austin",546,36.8,34.0,49,201,0
84,200,607200,"Fedde, Erick",1366,14.6,19.0,34,200,0
85,197,669467,"Pallante, Andre",784,25.1,27.0,31,197,0
86,196,605164,"Bundy, Dylan",919,21.3,17.0,29,196,0
87,195,680694,"Bradish, Kyle",832,23.4,37.0,33,195,0
88,194,608566,"Márquez, Germán",1263,15.4,35.0,15,194,0
89,194,641745,"Keller, Brad",1224,15.8,26.0,37,194,0
90,192,664062,"Gonsolin, Tony",1157,16.6,22.0,30,192,0
91,191,527048,"Pérez, Martín",1368,14.0,21.0,30,191,0
92,189,448179,"Hill, Rich",1059,17.8,24.0,41,189,0
93,188,547179,"Lorenzen, Michael",1115,16.9,22.0,29,188,0
94,188,593958,"Rodriguez, Eduardo",671,28.0,16.0,33,188,0
95,187,669456,"Bieber, Shane",1273,14.7,34.0,27,187,0
96,186,672710,"Contreras, Roansy",744,25.0,19.0,40,186,0
97,182,592858,"Wick, Rowan",538,33.8,25.0,39,182,0
98,182,592866,"Williams, Trevor",655,27.8,23.0,43,182,0
99,181,608349,"Knebel, Corey",532,34.0,18.0,44,181,0
100,180,592826,"Velasquez, Vince",766,23.5,16.0,45,180,0
101,180,621107,"Eflin, Zach",1091,16.5,19.0,38,180,0
102,179,664747,"Díaz, Alexis",522,34.3,7.0,59,179,0
103,178,669211,"Akin, Keegan",654,27.2,12.0,55,178,0
104,178,502043,"Gibson, Kyle",1305,13.6,21.0,30,178,0
105,177,669395,"Coleman, Dylan",591,29.9,14.0,43,177,0
106,176,605488,"Springs, Jeffrey",940,18.7,15.0,44,176,0
107,176,592836,"Walker, Taijuan",1037,17.0,24.0,34,176,0
108,174,669373,"Skubal, Tarik",1265,13.8,18.0,42,174,0
109,173,605540,"Woodruff, Brandon",810,21.4,9.0,47,173,0
110,173,665621,"García, Rony",734,23.6,15.0,34,173,0
111,173,641941,"Pagán, Emilio",462,37.4,18.0,45,173,0
